No.Lectura,Valor,Fecha,Hora
1,32,2025-02-03,08:01:08
2,32,2025-02-03,08:06:08
3,32,2025-02-03,08:11:09
4,32,2025-02-03,08:16:09
5,32,2025-02-03,08:21:09
6,31,2025-02-03,08:26:09
7,31,2025-02-03,08:31:09
8,31,2025-02-03,08:36:09
9,31,2025-02-03,08:41:09
10,31,2025-02-03,08:46:09
11,31,2025-02-03,08:51:09
12,31,2025-02-03,08:56:09
13,30,2025-02-03,09:01:09
14,26,2025-02-03,09:06:09
15,29,2025-02-03,09:11:09
16,29,2025-02-03,09:16:09
17,29,2025-02-03,09:21:09
18,30,2025-02-03,09:26:09
19,31,2025-02-03,09:31:09
20,30,2025-02-03,09:36:09
21,30,2025-02-03,09:41:09
22,30,2025-02-03,09:46:09
23,30,2025-02-03,09:51:09
24,30,2025-02-03,09:56:09
25,31,2025-02-03,10:01:09
26,31,2025-02-03,10:06:09
27,31,2025-02-03,10:11:09
28,31,2025-02-03,10:16:09
29,32,2025-02-03,10:21:09
30,32,2025-02-03,10:26:09
31,32,2025-02-03,10:31:09
32,32,2025-02-03,10:36:09
33,33,2025-02-03,10:41:09
34,33,2025-02-03,10:46:09
35,33,2025-02-03,10:51:09
36,33,2025-02-03,10:56:09
37,33,2025-02-03,11:01:09
38,33,2025-02-03,11:06:09
39,33,2025-02-03,11:11:09
40,33,2025-02-03,11:16:09
41,34,2025-02-03,11:21:09
42,34,2025-02-03,11:26:09
43,34,2025-02-03,11:31:09
44,34,2025-02-03,11:36:09
45,35,2025-02-03,11:41:09
46,35,2025-02-03,11:46:09
47,35,2025-02-03,11:51:09
48,35,2025-02-03,11:56:09
49,35,2025-02-03,12:01:09
50,35,2025-02-03,12:06:09
51,35,2025-02-03,12:11:09
52,35,2025-02-03,12:16:09
53,36,2025-02-03,12:21:09
54,,2025-02-03,12:26:09
55,107,2025-02-03,12:31:09
56,107,2025-02-03,12:36:09
57,108,2025-02-03,12:41:09
58,108,2025-02-03,12:46:09
59,106,2025-02-03,12:51:09
60,86,2025-02-03,12:56:09
61,79,2025-02-03,13:01:10
62,80,2025-02-03,13:06:10
63,80,2025-02-03,13:11:10
64,80,2025-02-03,13:16:10
65,81,2025-02-03,13:21:10
66,82,2025-02-03,13:26:10
67,83,2025-02-03,13:31:10
68,84,2025-02-03,13:36:10
69,84,2025-02-03,13:41:10
70,85,2025-02-03,13:46:10
71,86,2025-02-03,13:51:10
72,87,2025-02-03,13:56:10
73,88,2025-02-03,14:01:10
74,88,2025-02-03,14:06:10
75,89,2025-02-03,14:11:10
76,90,2025-02-03,14:16:10
77,91,2025-02-03,14:21:10
78,92,2025-02-03,14:26:10
79,93,2025-02-03,14:31:10
80,94,2025-02-03,14:36:10
81,95,2025-02-03,14:41:10
82,96,2025-02-03,14:46:10
83,96,2025-02-03,14:51:10
84,98,2025-02-03,14:56:10
85,99,2025-02-03,15:01:10
86,100,2025-02-03,15:06:10
87,101,2025-02-03,15:11:10
88,102,2025-02-03,15:16:10
89,103,2025-02-03,15:21:10
90,104,2025-02-03,15:26:10
91,105,2025-02-03,15:31:10
92,106,2025-02-03,15:36:10
93,107,2025-02-03,15:41:10
94,107,2025-02-03,15:46:10
95,109,2025-02-03,15:51:10
96,110,2025-02-03,15:56:10
97,110,2025-02-03,16:01:10
98,112,2025-02-03,16:06:10
99,113,2025-02-03,16:11:10
100,113,2025-02-03,16:16:10
101,114,2025-02-03,16:21:10
102,114,2025-02-03,16:26:10
103,116,2025-02-03,16:31:10
104,117,2025-02-03,16:36:10
105,118,2025-02-03,16:41:10
106,120,2025-02-03,16:46:10
107,120,2025-02-03,16:51:10
108,122,2025-02-03,16:56:10
109,123,2025-02-03,17:01:10
110,125,2025-02-03,17:06:10
111,125,2025-02-03,17:11:10
112,,2025-02-03,17:16:10
113,9,2025-02-03,17:21:10
114,9,2025-02-03,17:26:10
115,10,2025-02-03,17:31:10
116,9,2025-02-03,17:36:10
117,9,2025-02-03,17:41:10
118,9,2025-02-03,17:46:10
119,9,2025-02-03,17:51:10
120,9,2025-02-03,17:56:10
121,9,2025-02-03,18:01:10
122,9,2025-02-03,18:06:10
123,9,2025-02-03,18:11:10
124,9,2025-02-03,18:16:10
125,10,2025-02-03,18:21:10
126,9,2025-02-03,18:26:10
127,9,2025-02-03,18:31:10
128,9,2025-02-03,18:36:10
129,10,2025-02-03,18:41:10
130,10,2025-02-03,18:46:10
131,10,2025-02-03,18:51:10
132,10,2025-02-03,18:56:10
133,10,2025-02-03,19:01:10
134,9,2025-02-03,19:06:10
135,10,2025-02-03,19:11:10
136,9,2025-02-03,19:16:10
137,10,2025-02-03,19:21:10
138,9,2025-02-03,19:26:10
139,9,2025-02-03,19:31:10
140,10,2025-02-03,19:36:10
141,9,2025-02-03,19:41:10
142,9,2025-02-03,19:46:10
143,9,2025-02-03,19:51:10
144,9,2025-02-03,19:56:10
