h,no,va,vo,g
AL,1,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 43, 'ruido': 40, 'int_luminosa': 477}",0.7107
AL,2,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 70, 'ruido': 58, 'int_luminosa': 511}",0.685
AL,3,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 52, 'ruido': 57, 'int_luminosa': 858}",0.68645
AL,4,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 48, 'ruido': 40, 'int_luminosa': 977}",0.7107
AL,5,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 62, 'ruido': 40, 'int_luminosa': 993}",0.71075
AL,6,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 66, 'ruido': 37, 'int_luminosa': 839}",0.715
AL,7,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 66, 'ruido': 49, 'int_luminosa': 492}",0.69785
AL,8,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 52, 'ruido': 39, 'int_luminosa': 551}",0.71215
AL,9,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 34, 'int_luminosa': 707}",0.7193
AL,10,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 43, 'ruido': 41, 'int_luminosa': 918}",0.70925
AL,11,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 53, 'ruido': 35, 'int_luminosa': 599}",0.71785
AL,12,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 52, 'ruido': 36, 'int_luminosa': 979}",0.71645
AL,13,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 58, 'ruido': 33, 'int_luminosa': 407}",0.7207
AL,14,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 49, 'ruido': 33, 'int_luminosa': 325}",0.7207
AL,15,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 59, 'ruido': 32, 'int_luminosa': 665}",0.7221
AL,16,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 67, 'ruido': 35, 'int_luminosa': 725}",0.7179
AL,17,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 55, 'ruido': 36, 'int_luminosa': 964}",0.7164
AL,18,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 51, 'ruido': 38, 'int_luminosa': 430}",0.71355
AL,19,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 48, 'ruido': 48, 'int_luminosa': 592}",0.6993
AL,20,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 43, 'ruido': 34, 'int_luminosa': 707}",0.7193
AL,21,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 37, 'int_luminosa': 760}",0.715
AL,22,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 65, 'ruido': 38, 'int_luminosa': 394}",0.7136
AL,23,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 63, 'ruido': 34, 'int_luminosa': 409}",0.7193
AL,24,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 69, 'ruido': 35, 'int_luminosa': 905}",0.71785
AL,25,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 63, 'ruido': 46, 'int_luminosa': 809}",0.70215
AL,26,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 41, 'ruido': 34, 'int_luminosa': 785}",0.7193
AL,27,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 22, 'humedad': 48, 'ruido': 35, 'int_luminosa': 398}",0.69285
AL,28,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 62, 'ruido': 33, 'int_luminosa': 990}",0.72075
AL,29,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 57, 'ruido': 38, 'int_luminosa': 482}",0.71355
AL,30,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 47, 'ruido': 42, 'int_luminosa': 588}",0.70785
AL,1,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 51, 'ruido': 43, 'int_luminosa': 439}",0.5
