h,no,va,vo,g
GA,1,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 52, 'ruido': 31, 'int_luminosa': 420}",0.7236
GA,2,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 46, 'ruido': 31, 'int_luminosa': 773}",0.7236
GA,3,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 57, 'ruido': 31, 'int_luminosa': 663}",0.7236
GA,4,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 61, 'ruido': 31, 'int_luminosa': 837}",0.7236
GA,5,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 67, 'ruido': 31, 'int_luminosa': 445}",0.7236
GA,6,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 44, 'ruido': 31, 'int_luminosa': 422}",0.7236
GA,7,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 70, 'ruido': 31, 'int_luminosa': 959}",0.7236
GA,8,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 43, 'ruido': 31, 'int_luminosa': 389}",0.7236
GA,9,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 58, 'ruido': 31, 'int_luminosa': 962}",0.7236
GA,10,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 43, 'ruido': 31, 'int_luminosa': 907}",0.7236
