h,no,va,vo,g
ILS,1,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 56, 'ruido': 31, 'int_luminosa': 398}",0.7236
ILS,2,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 44, 'ruido': 31, 'int_luminosa': 604}",0.7236
ILS,3,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 69, 'ruido': 31, 'int_luminosa': 631}",0.7236
ILS,4,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 46, 'ruido': 31, 'int_luminosa': 507}",0.7236
ILS,5,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 50, 'ruido': 31, 'int_luminosa': 591}",0.7236
ILS,6,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 31, 'int_luminosa': 939}",0.7236
ILS,7,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 53, 'ruido': 31, 'int_luminosa': 913}",0.7236
ILS,8,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 69, 'ruido': 31, 'int_luminosa': 557}",0.7236
ILS,9,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 31, 'int_luminosa': 533}",0.7236
ILS,10,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 43, 'ruido': 31, 'int_luminosa': 739}",0.7236
ILS,11,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 57, 'ruido': 31, 'int_luminosa': 879}",0.7236
ILS,12,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 44, 'ruido': 31, 'int_luminosa': 790}",0.7236
ILS,13,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 61, 'ruido': 31, 'int_luminosa': 305}",0.7236
ILS,14,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 61, 'ruido': 31, 'int_luminosa': 487}",0.7236
ILS,15,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 53, 'ruido': 31, 'int_luminosa': 521}",0.7236
ILS,16,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 53, 'ruido': 31, 'int_luminosa': 363}",0.7236
ILS,17,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 59, 'ruido': 31, 'int_luminosa': 787}",0.7236
ILS,18,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 31, 'int_luminosa': 351}",0.7236
ILS,19,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 59, 'ruido': 31, 'int_luminosa': 587}",0.7236
ILS,20,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 43, 'ruido': 31, 'int_luminosa': 809}",0.7236
ILS,21,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 47, 'ruido': 31, 'int_luminosa': 653}",0.7236
ILS,22,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 62, 'ruido': 31, 'int_luminosa': 653}",0.7236
ILS,23,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 46, 'ruido': 31, 'int_luminosa': 346}",0.7236
