h,no,va,vo,g
LS,1,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 66, 'ruido': 31, 'int_luminosa': 983}",0.7236
LS,2,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 42, 'ruido': 40, 'int_luminosa': 933}",0.7107
LS,3,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 32, 'int_luminosa': 418}",0.72075
LS,4,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 55, 'ruido': 31, 'int_luminosa': 840}",0.7236
LS,5,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 24, 'humedad': 59, 'ruido': 38, 'int_luminosa': 749}",0.71355
LS,6,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 64, 'ruido': 33, 'int_luminosa': 845}",0.7207
LS,7,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 27, 'humedad': 58, 'ruido': 34, 'int_luminosa': 838}",0.71925
LS,8,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 40, 'ruido': 53, 'int_luminosa': 977}",0.71075
LS,9,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 65, 'ruido': 31, 'int_luminosa': 561}",0.7236
LS,10,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 40, 'ruido': 30, 'int_luminosa': 879}",0.7179
LS,11,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 22, 'humedad': 49, 'ruido': 51, 'int_luminosa': 367}",0.67
LS,12,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 22, 'humedad': 51, 'ruido': 33, 'int_luminosa': 557}",0.69575
LS,13,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 22, 'humedad': 42, 'ruido': 39, 'int_luminosa': 747}",0.68715
LS,14,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 52, 'ruido': 43, 'int_luminosa': 874}",0.70645
LS,15,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 24, 'humedad': 47, 'ruido': 45, 'int_luminosa': 577}",0.7036
LS,16,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 58, 'ruido': 49, 'int_luminosa': 1000}",0.69785
LS,17,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 23, 'humedad': 69, 'ruido': 57, 'int_luminosa': 469}",0.68645
LS,18,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 58, 'ruido': 33, 'int_luminosa': 339}",0.7207
LS,19,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 51, 'ruido': 38, 'int_luminosa': 836}",0.7136
LS,20,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 34, 'int_luminosa': 507}",0.7193
LS,21,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 51, 'ruido': 56, 'int_luminosa': 976}",0.71785
LS,22,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 60, 'ruido': 39, 'int_luminosa': 945}",0.71215
LS,23,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 67, 'ruido': 33, 'int_luminosa': 582}",0.72075
LS,24,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 63, 'ruido': 47, 'int_luminosa': 490}",0.70075
LS,25,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 45, 'ruido': 42, 'int_luminosa': 844}",0.7193
LS,26,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 62, 'ruido': 52, 'int_luminosa': 978}",0.72215
LS,27,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 22, 'humedad': 53, 'ruido': 33, 'int_luminosa': 761}",0.6957
LS,28,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 67, 'ruido': 54, 'int_luminosa': 919}",0.7207
LS,29,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 49, 'ruido': 58, 'int_luminosa': 563}",0.685
LS,30,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 56, 'ruido': 32, 'int_luminosa': 628}",0.72215
LS,1,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 49, 'ruido': 50, 'int_luminosa': 632}",0.5
LS,2,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 47, 'ruido': 42, 'int_luminosa': 980}",0.5
LS,3,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 51, 'ruido': 45, 'int_luminosa': 698}",0.5
LS,4,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 65, 'ruido': 61, 'int_luminosa': 935}",0.5
LS,5,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 61, 'ruido': 54, 'int_luminosa': 524}",0.5
LS,6,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 42, 'ruido': 54, 'int_luminosa': 495}",0.5
LS,7,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 61, 'ruido': 48, 'int_luminosa': 304}",0.5
LS,8,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 43, 'ruido': 58, 'int_luminosa': 846}",0.5
LS,9,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 50, 'ruido': 33, 'int_luminosa': 452}",0.5
LS,10,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 67, 'ruido': 52, 'int_luminosa': 855}",0.5
LS,11,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 60, 'ruido': 43, 'int_luminosa': 478}",0.5
LS,12,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 47, 'ruido': 61, 'int_luminosa': 313}",0.5
LS,13,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 64, 'ruido': 64, 'int_luminosa': 562}",0.5
LS,14,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 70, 'ruido': 43, 'int_luminosa': 968}",0.5
LS,15,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 60, 'ruido': 33, 'int_luminosa': 883}",0.5
LS,16,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 45, 'ruido': 53, 'int_luminosa': 376}",0.5
LS,17,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 42, 'ruido': 57, 'int_luminosa': 331}",0.5
LS,18,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 47, 'ruido': 37, 'int_luminosa': 797}",0.5
LS,19,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 63, 'ruido': 40, 'int_luminosa': 501}",0.5
LS,20,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 48, 'ruido': 41, 'int_luminosa': 564}",0.5
LS,21,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 70, 'ruido': 32, 'int_luminosa': 772}",0.5
LS,22,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 58, 'ruido': 53, 'int_luminosa': 594}",0.5
LS,23,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 50, 'ruido': 39, 'int_luminosa': 964}",0.5
LS,24,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 56, 'ruido': 34, 'int_luminosa': 542}",0.5
LS,25,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 45, 'ruido': 59, 'int_luminosa': 613}",0.5
LS,26,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 25, 'humedad': 66, 'ruido': 39, 'int_luminosa': 980}",0.5
LS,27,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 55, 'ruido': 56, 'int_luminosa': 697}",0.5
LS,28,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 44, 'ruido': 64, 'int_luminosa': 795}",0.5
LS,29,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 53, 'ruido': 54, 'int_luminosa': 697}",0.5
LS,30,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 64, 'ruido': 40, 'int_luminosa': 845}",0.5
LS,1,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 42, 'ruido': 45, 'int_luminosa': 678}",0.5735
LS,2,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 51, 'ruido': 62, 'int_luminosa': 332}",0.5759
LS,3,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 59, 'ruido': 48, 'int_luminosa': 652}",0.57545
LS,4,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 57, 'ruido': 43, 'int_luminosa': 479}",0.57525
LS,5,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 50, 'ruido': 53, 'int_luminosa': 453}",0.5748
LS,6,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 60, 'ruido': 63, 'int_luminosa': 675}",0.57415
