h,no,va,vo,g
TS,1,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 49, 'ruido': 32, 'int_luminosa': 332}",0.72215
TS,2,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 58, 'ruido': 33, 'int_luminosa': 665}",0.72075
TS,3,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 66, 'ruido': 36, 'int_luminosa': 817}",0.71645
TS,4,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 47, 'ruido': 34, 'int_luminosa': 807}",0.7193
TS,5,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 49, 'ruido': 31, 'int_luminosa': 520}",0.72355
TS,6,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 67, 'ruido': 37, 'int_luminosa': 599}",0.715
TS,7,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 59, 'ruido': 34, 'int_luminosa': 470}",0.7193
TS,8,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 68, 'ruido': 31, 'int_luminosa': 853}",0.7236
TS,9,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 53, 'ruido': 34, 'int_luminosa': 750}",0.7193
TS,10,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 47, 'ruido': 33, 'int_luminosa': 601}",0.72075
TS,11,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 69, 'ruido': 32, 'int_luminosa': 831}",0.72215
TS,12,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 69, 'ruido': 34, 'int_luminosa': 973}",0.7193
TS,13,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 64, 'ruido': 38, 'int_luminosa': 447}",0.71355
TS,14,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 47, 'ruido': 38, 'int_luminosa': 489}",0.7136
TS,15,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 62, 'ruido': 33, 'int_luminosa': 717}",0.72075
TS,16,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 66, 'ruido': 36, 'int_luminosa': 665}",0.71645
TS,17,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 42, 'ruido': 35, 'int_luminosa': 848}",0.71785
TS,18,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 51, 'ruido': 33, 'int_luminosa': 318}",0.7207
TS,19,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 67, 'ruido': 31, 'int_luminosa': 594}",0.72355
TS,20,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 52, 'ruido': 31, 'int_luminosa': 325}",0.7236
TS,21,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 65, 'ruido': 38, 'int_luminosa': 644}",0.71355
TS,22,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 69, 'ruido': 37, 'int_luminosa': 510}",0.715
TS,23,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}","{'temperatura': 21, 'humedad': 61, 'ruido': 31, 'int_luminosa': 777}",0.7236
