h,va,iqr
AL,"{'temperatura': 20, 'humedad': 48, 'ruido': 89, 'int_luminosa': 916}",0.025375000000000036
AL,"{'temperatura': 20, 'humedad': 50, 'ruido': 92, 'int_luminosa': 688}",0.023050000000000015
AL,"{'temperatura': 20, 'humedad': 55, 'ruido': 128, 'int_luminosa': 809}",0.03478749999999997
AL,"{'temperatura': 20, 'humedad': 57, 'ruido': 79, 'int_luminosa': 203}",0.009987500000000038
AL,"{'temperatura': 20, 'humedad': 78, 'ruido': 102, 'int_luminosa': 243}",0.0
AL,"{'temperatura': 20, 'humedad': 82, 'ruido': 41, 'int_luminosa': 994}",0.019974999999999965
AL,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}",0.009337499999999999
AL,"{'temperatura': 21, 'humedad': 49, 'ruido': 85, 'int_luminosa': 183}",0.016687500000000077
AL,"{'temperatura': 21, 'humedad': 50, 'ruido': 113, 'int_luminosa': 349}",0.020724999999999993
AL,"{'temperatura': 21, 'humedad': 61, 'ruido': 59, 'int_luminosa': 597}",0.01915000000000011
AL,"{'temperatura': 22, 'humedad': 47, 'ruido': 52, 'int_luminosa': 833}",0.02046250000000005
AL,"{'temperatura': 22, 'humedad': 49, 'ruido': 48, 'int_luminosa': 987}",0.027150000000000007
AL,"{'temperatura': 22, 'humedad': 61, 'ruido': 101, 'int_luminosa': 950}",0.026925000000000088
AL,"{'temperatura': 22, 'humedad': 96, 'ruido': 47, 'int_luminosa': 528}",0.017974999999999852
AL,"{'temperatura': 22, 'humedad': 96, 'ruido': 91, 'int_luminosa': 645}",0.018500000000000072
AL,"{'temperatura': 23, 'humedad': 53, 'ruido': 45, 'int_luminosa': 78}",0.014587499999999975
AL,"{'temperatura': 23, 'humedad': 58, 'ruido': 82, 'int_luminosa': 475}",0.016462500000000047
AL,"{'temperatura': 23, 'humedad': 66, 'ruido': 97, 'int_luminosa': 628}",0.017737500000000073
AL,"{'temperatura': 23, 'humedad': 70, 'ruido': 36, 'int_luminosa': 809}",0.01806249999999998
AL,"{'temperatura': 23, 'humedad': 89, 'ruido': 56, 'int_luminosa': 812}",0.021425000000000027
AL,"{'temperatura': 24, 'humedad': 62, 'ruido': 88, 'int_luminosa': 56}",0.0051000000000001044
AL,"{'temperatura': 24, 'humedad': 69, 'ruido': 66, 'int_luminosa': 991}",0.01948749999999999
