h,va,iqr
GA,"{'temperatura': 20, 'humedad': 48, 'ruido': 89, 'int_luminosa': 916}",0.0006000000000000449
GA,"{'temperatura': 20, 'humedad': 50, 'ruido': 92, 'int_luminosa': 688}",4.999999999999449e-05
GA,"{'temperatura': 20, 'humedad': 55, 'ruido': 128, 'int_luminosa': 809}",0.00045000000000006146
GA,"{'temperatura': 20, 'humedad': 57, 'ruido': 79, 'int_luminosa': 203}",0.0
GA,"{'temperatura': 20, 'humedad': 78, 'ruido': 102, 'int_luminosa': 243}",0.0
GA,"{'temperatura': 20, 'humedad': 82, 'ruido': 41, 'int_luminosa': 994}",0.00039999999999995595
GA,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}",0.0
GA,"{'temperatura': 21, 'humedad': 49, 'ruido': 85, 'int_luminosa': 183}",0.0
GA,"{'temperatura': 21, 'humedad': 50, 'ruido': 113, 'int_luminosa': 349}",4.999999999999449e-05
GA,"{'temperatura': 21, 'humedad': 61, 'ruido': 59, 'int_luminosa': 597}",0.00034999999999996145
GA,"{'temperatura': 22, 'humedad': 47, 'ruido': 52, 'int_luminosa': 833}",0.00040000000000006697
GA,"{'temperatura': 22, 'humedad': 49, 'ruido': 48, 'int_luminosa': 987}",0.0006000000000000449
GA,"{'temperatura': 22, 'humedad': 61, 'ruido': 101, 'int_luminosa': 950}",0.0006499999999999284
GA,"{'temperatura': 22, 'humedad': 96, 'ruido': 47, 'int_luminosa': 528}",0.00017499999999992522
GA,"{'temperatura': 22, 'humedad': 96, 'ruido': 91, 'int_luminosa': 645}",0.00024999999999997247
GA,"{'temperatura': 23, 'humedad': 53, 'ruido': 45, 'int_luminosa': 78}",0.0
GA,"{'temperatura': 23, 'humedad': 58, 'ruido': 82, 'int_luminosa': 475}",0.000200000000000089
GA,"{'temperatura': 23, 'humedad': 66, 'ruido': 97, 'int_luminosa': 628}",0.000200000000000089
GA,"{'temperatura': 23, 'humedad': 70, 'ruido': 36, 'int_luminosa': 809}",0.0005875000000000741
GA,"{'temperatura': 23, 'humedad': 89, 'ruido': 56, 'int_luminosa': 812}",0.0005999999999999339
GA,"{'temperatura': 24, 'humedad': 62, 'ruido': 88, 'int_luminosa': 56}",0.0
GA,"{'temperatura': 24, 'humedad': 69, 'ruido': 66, 'int_luminosa': 991}",0.0006000000000000449
GA,"{'temperatura': 24, 'humedad': 74, 'ruido': 64, 'int_luminosa': 852}",0.00024999999999997247
GA,"{'temperatura': 25, 'humedad': 78, 'ruido': 114, 'int_luminosa': 866}",0.00045000000000006146
GA,"{'temperatura': 25, 'humedad': 79, 'ruido': 33, 'int_luminosa': 304}",0.0
GA,"{'temperatura': 26, 'humedad': 44, 'ruido': 108, 'int_luminosa': 331}",9.999999999998899e-05
GA,"{'temperatura': 26, 'humedad': 44, 'ruido': 81, 'int_luminosa': 810}",0.00045000000000006146
GA,"{'temperatura': 26, 'humedad': 48, 'ruido': 116, 'int_luminosa': 298}",0.0
GA,"{'temperatura': 26, 'humedad': 51, 'ruido': 56, 'int_luminosa': 166}",0.0
GA,"{'temperatura': 26, 'humedad': 54, 'ruido': 54, 'int_luminosa': 232}",0.0
GA,"{'temperatura': 26, 'humedad': 62, 'ruido': 125, 'int_luminosa': 186}",0.0
GA,"{'temperatura': 26, 'humedad': 77, 'ruido': 114, 'int_luminosa': 651}",0.00019999999999997797
GA,"{'temperatura': 27, 'humedad': 43, 'ruido': 40, 'int_luminosa': 797}",0.0006499999999999284
GA,"{'temperatura': 27, 'humedad': 49, 'ruido': 119, 'int_luminosa': 167}",0.0
GA,"{'temperatura': 27, 'humedad': 49, 'ruido': 128, 'int_luminosa': 958}",0.0009375000000000355
GA,"{'temperatura': 27, 'humedad': 57, 'ruido': 43, 'int_luminosa': 44}",0.0
GA,"{'temperatura': 27, 'humedad': 80, 'ruido': 104, 'int_luminosa': 98}",0.0
GA,"{'temperatura': 27, 'humedad': 86, 'ruido': 126, 'int_luminosa': 94}",0.0
GA,"{'temperatura': 28, 'humedad': 43, 'ruido': 48, 'int_luminosa': 684}",0.00039999999999995595
GA,"{'temperatura': 28, 'humedad': 43, 'ruido': 96, 'int_luminosa': 173}",0.0
GA,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}",0.0
GA,"{'temperatura': 28, 'humedad': 89, 'ruido': 91, 'int_luminosa': 537}",0.00017500000000003624
GA,"{'temperatura': 29, 'humedad': 44, 'ruido': 53, 'int_luminosa': 226}",0.0
GA,"{'temperatura': 29, 'humedad': 59, 'ruido': 82, 'int_luminosa': 898}",0.0006500000000000394
GA,"{'temperatura': 29, 'humedad': 79, 'ruido': 89, 'int_luminosa': 667}",0.00040000000000006697
GA,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}",0.00024999999999997247
GA,"{'temperatura': 30, 'humedad': 44, 'ruido': 125, 'int_luminosa': 855}",0.0005999999999999339
GA,"{'temperatura': 30, 'humedad': 87, 'ruido': 105, 'int_luminosa': 500}",0.00014999999999998348
GA,"{'temperatura': 30, 'humedad': 93, 'ruido': 91, 'int_luminosa': 119}",0.0
GA,"{'temperatura': 31, 'humedad': 54, 'ruido': 120, 'int_luminosa': 120}",0.0
GA,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}",0.0003874999999999851
GA,"{'temperatura': 31, 'humedad': 70, 'ruido': 66, 'int_luminosa': 117}",0.0
GA,"{'temperatura': 31, 'humedad': 73, 'ruido': 84, 'int_luminosa': 514}",0.00014999999999998348
GA,"{'temperatura': 31, 'humedad': 88, 'ruido': 50, 'int_luminosa': 211}",0.0
GA,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}",0.0
GA,"{'temperatura': 32, 'humedad': 42, 'ruido': 123, 'int_luminosa': 992}",0.0006499999999999284
GA,"{'temperatura': 32, 'humedad': 67, 'ruido': 72, 'int_luminosa': 896}",0.00044999999999995044
GA,"{'temperatura': 32, 'humedad': 80, 'ruido': 54, 'int_luminosa': 795}",0.00039999999999995595
GA,"{'temperatura': 32, 'humedad': 86, 'ruido': 37, 'int_luminosa': 559}",9.999999999998899e-05
GA,"{'temperatura': 32, 'humedad': 86, 'ruido': 72, 'int_luminosa': 428}",4.999999999999449e-05
GA,"{'temperatura': 32, 'humedad': 89, 'ruido': 43, 'int_luminosa': 203}",0.0
GA,"{'temperatura': 33, 'humedad': 48, 'ruido': 81, 'int_luminosa': 862}",0.0006500000000000394
GA,"{'temperatura': 33, 'humedad': 66, 'ruido': 81, 'int_luminosa': 677}",0.00024999999999997247
GA,"{'temperatura': 33, 'humedad': 67, 'ruido': 54, 'int_luminosa': 84}",0.0
GA,"{'temperatura': 33, 'humedad': 69, 'ruido': 67, 'int_luminosa': 112}",0.0
GA,"{'temperatura': 34, 'humedad': 43, 'ruido': 45, 'int_luminosa': 707}",0.0003749999999999032
GA,"{'temperatura': 34, 'humedad': 55, 'ruido': 48, 'int_luminosa': 683}",0.00024999999999997247
GA,"{'temperatura': 34, 'humedad': 59, 'ruido': 41, 'int_luminosa': 260}",0.0
GA,"{'temperatura': 34, 'humedad': 65, 'ruido': 87, 'int_luminosa': 991}",0.00034999999999996145
GA,"{'temperatura': 34, 'humedad': 67, 'ruido': 125, 'int_luminosa': 488}",0.0001875000000000071
GA,"{'temperatura': 34, 'humedad': 82, 'ruido': 91, 'int_luminosa': 582}",0.00024999999999997247
GA,"{'temperatura': 35, 'humedad': 41, 'ruido': 122, 'int_luminosa': 913}",0.0008500000000000174
GA,"{'temperatura': 35, 'humedad': 51, 'ruido': 117, 'int_luminosa': 208}",0.0
GA,"{'temperatura': 35, 'humedad': 53, 'ruido': 76, 'int_luminosa': 993}",0.0006500000000000394
GA,"{'temperatura': 35, 'humedad': 69, 'ruido': 67, 'int_luminosa': 738}",0.00034999999999996145
GA,"{'temperatura': 35, 'humedad': 75, 'ruido': 117, 'int_luminosa': 727}",0.000300000000000078
GA,"{'temperatura': 35, 'humedad': 98, 'ruido': 52, 'int_luminosa': 442}",9.999999999998899e-05
GA,"{'temperatura': 36, 'humedad': 76, 'ruido': 103, 'int_luminosa': 704}",0.000300000000000078
GA,"{'temperatura': 36, 'humedad': 79, 'ruido': 80, 'int_luminosa': 220}",0.0
GA,"{'temperatura': 36, 'humedad': 79, 'ruido': 88, 'int_luminosa': 712}",0.00029999999999996696
GA,"{'temperatura': 36, 'humedad': 88, 'ruido': 97, 'int_luminosa': 584}",0.0002375000000000016
GA,"{'temperatura': 37, 'humedad': 44, 'ruido': 109, 'int_luminosa': 282}",0.0
GA,"{'temperatura': 37, 'humedad': 45, 'ruido': 30, 'int_luminosa': 293}",0.0
GA,"{'temperatura': 37, 'humedad': 47, 'ruido': 96, 'int_luminosa': 219}",0.0
GA,"{'temperatura': 37, 'humedad': 51, 'ruido': 85, 'int_luminosa': 522}",0.0002875000000001071
GA,"{'temperatura': 37, 'humedad': 58, 'ruido': 69, 'int_luminosa': 216}",0.0
GA,"{'temperatura': 37, 'humedad': 73, 'ruido': 40, 'int_luminosa': 162}",0.0
GA,"{'temperatura': 37, 'humedad': 78, 'ruido': 62, 'int_luminosa': 913}",0.00034999999999996145
GA,"{'temperatura': 37, 'humedad': 97, 'ruido': 97, 'int_luminosa': 115}",0.0
GA,"{'temperatura': 38, 'humedad': 44, 'ruido': 107, 'int_luminosa': 188}",0.0
GA,"{'temperatura': 38, 'humedad': 60, 'ruido': 91, 'int_luminosa': 829}",0.0006500000000000394
GA,"{'temperatura': 38, 'humedad': 71, 'ruido': 36, 'int_luminosa': 833}",0.00040000000000006697
GA,"{'temperatura': 38, 'humedad': 79, 'ruido': 69, 'int_luminosa': 355}",5.0000000000105516e-05
GA,"{'temperatura': 39, 'humedad': 41, 'ruido': 60, 'int_luminosa': 797}",0.0005500000000000504
GA,"{'temperatura': 39, 'humedad': 56, 'ruido': 56, 'int_luminosa': 102}",0.0
GA,"{'temperatura': 39, 'humedad': 63, 'ruido': 32, 'int_luminosa': 371}",4.999999999999449e-05
GA,"{'temperatura': 39, 'humedad': 65, 'ruido': 36, 'int_luminosa': 483}",0.00023750000000011262
GA,"{'temperatura': 39, 'humedad': 71, 'ruido': 86, 'int_luminosa': 954}",0.0010000000000000009
GA,"{'temperatura': 39, 'humedad': 72, 'ruido': 46, 'int_luminosa': 292}",0.0
GA,"{'temperatura': 39, 'humedad': 87, 'ruido': 119, 'int_luminosa': 104}",0.0
