h,va,iqr
ILS,"{'temperatura': 20, 'humedad': 48, 'ruido': 89, 'int_luminosa': 916}",0.003925000000000067
ILS,"{'temperatura': 20, 'humedad': 50, 'ruido': 92, 'int_luminosa': 688}",0.002687500000000065
ILS,"{'temperatura': 20, 'humedad': 55, 'ruido': 128, 'int_luminosa': 809}",0.0026124999999999066
ILS,"{'temperatura': 20, 'humedad': 57, 'ruido': 79, 'int_luminosa': 203}",0.0
ILS,"{'temperatura': 20, 'humedad': 78, 'ruido': 102, 'int_luminosa': 243}",0.0
ILS,"{'temperatura': 20, 'humedad': 82, 'ruido': 41, 'int_luminosa': 994}",0.0026000000000001577
ILS,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}",0.0
ILS,"{'temperatura': 21, 'humedad': 49, 'ruido': 85, 'int_luminosa': 183}",0.0
ILS,"{'temperatura': 21, 'humedad': 50, 'ruido': 113, 'int_luminosa': 349}",0.000500000000000056
ILS,"{'temperatura': 21, 'humedad': 61, 'ruido': 59, 'int_luminosa': 597}",0.0021499999999999853
ILS,"{'temperatura': 22, 'humedad': 47, 'ruido': 52, 'int_luminosa': 833}",0.00539999999999996
ILS,"{'temperatura': 22, 'humedad': 49, 'ruido': 48, 'int_luminosa': 987}",0.004387499999999878
ILS,"{'temperatura': 22, 'humedad': 61, 'ruido': 101, 'int_luminosa': 950}",0.0034375000000000933
ILS,"{'temperatura': 22, 'humedad': 96, 'ruido': 47, 'int_luminosa': 528}",0.0010999999999999899
ILS,"{'temperatura': 22, 'humedad': 96, 'ruido': 91, 'int_luminosa': 645}",0.00019999999999997797
ILS,"{'temperatura': 23, 'humedad': 53, 'ruido': 45, 'int_luminosa': 78}",0.0016500000000000403
ILS,"{'temperatura': 23, 'humedad': 58, 'ruido': 82, 'int_luminosa': 475}",0.0011750000000000371
ILS,"{'temperatura': 23, 'humedad': 66, 'ruido': 97, 'int_luminosa': 628}",0.0007375000000000576
ILS,"{'temperatura': 23, 'humedad': 70, 'ruido': 36, 'int_luminosa': 809}",0.0026125000000000176
ILS,"{'temperatura': 23, 'humedad': 89, 'ruido': 56, 'int_luminosa': 812}",0.0010000000000000009
ILS,"{'temperatura': 24, 'humedad': 62, 'ruido': 88, 'int_luminosa': 56}",0.0
ILS,"{'temperatura': 24, 'humedad': 69, 'ruido': 66, 'int_luminosa': 991}",0.00019999999999997797
ILS,"{'temperatura': 24, 'humedad': 74, 'ruido': 64, 'int_luminosa': 852}",0.0005500000000000504
ILS,"{'temperatura': 25, 'humedad': 78, 'ruido': 114, 'int_luminosa': 866}",0.0002500000000000835
ILS,"{'temperatura': 25, 'humedad': 79, 'ruido': 33, 'int_luminosa': 304}",3.7500000000023626e-05
ILS,"{'temperatura': 26, 'humedad': 44, 'ruido': 108, 'int_luminosa': 331}",0.00024999999999997247
ILS,"{'temperatura': 26, 'humedad': 44, 'ruido': 81, 'int_luminosa': 810}",0.0030000000000000027
ILS,"{'temperatura': 26, 'humedad': 48, 'ruido': 116, 'int_luminosa': 298}",0.0
ILS,"{'temperatura': 26, 'humedad': 51, 'ruido': 56, 'int_luminosa': 166}",0.0008500000000000174
ILS,"{'temperatura': 26, 'humedad': 54, 'ruido': 54, 'int_luminosa': 232}",0.0010125000000000828
ILS,"{'temperatura': 26, 'humedad': 62, 'ruido': 125, 'int_luminosa': 186}",0.0
ILS,"{'temperatura': 26, 'humedad': 77, 'ruido': 114, 'int_luminosa': 651}",0.00019999999999997797
ILS,"{'temperatura': 27, 'humedad': 43, 'ruido': 40, 'int_luminosa': 797}",0.0035999999999999366
ILS,"{'temperatura': 27, 'humedad': 49, 'ruido': 119, 'int_luminosa': 167}",0.0
ILS,"{'temperatura': 27, 'humedad': 49, 'ruido': 128, 'int_luminosa': 958}",0.0010124999999999718
ILS,"{'temperatura': 27, 'humedad': 57, 'ruido': 43, 'int_luminosa': 44}",0.0
ILS,"{'temperatura': 27, 'humedad': 80, 'ruido': 104, 'int_luminosa': 98}",0.0
ILS,"{'temperatura': 27, 'humedad': 86, 'ruido': 126, 'int_luminosa': 94}",0.0
ILS,"{'temperatura': 28, 'humedad': 43, 'ruido': 48, 'int_luminosa': 684}",0.0017125000000000057
ILS,"{'temperatura': 28, 'humedad': 43, 'ruido': 96, 'int_luminosa': 173}",0.0
ILS,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}",0.0
ILS,"{'temperatura': 28, 'humedad': 89, 'ruido': 91, 'int_luminosa': 537}",0.0
ILS,"{'temperatura': 29, 'humedad': 44, 'ruido': 53, 'int_luminosa': 226}",0.0
ILS,"{'temperatura': 29, 'humedad': 59, 'ruido': 82, 'int_luminosa': 898}",0.0009124999999999828
ILS,"{'temperatura': 29, 'humedad': 79, 'ruido': 89, 'int_luminosa': 667}",0.0
ILS,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}",4.999999999999449e-05
ILS,"{'temperatura': 30, 'humedad': 44, 'ruido': 125, 'int_luminosa': 855}",0.0006499999999999284
ILS,"{'temperatura': 30, 'humedad': 87, 'ruido': 105, 'int_luminosa': 500}",0.0
ILS,"{'temperatura': 30, 'humedad': 93, 'ruido': 91, 'int_luminosa': 119}",0.0
ILS,"{'temperatura': 31, 'humedad': 54, 'ruido': 120, 'int_luminosa': 120}",0.0
ILS,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}",0.0013750000000001261
ILS,"{'temperatura': 31, 'humedad': 70, 'ruido': 66, 'int_luminosa': 117}",0.0
ILS,"{'temperatura': 31, 'humedad': 73, 'ruido': 84, 'int_luminosa': 514}",0.0
ILS,"{'temperatura': 31, 'humedad': 88, 'ruido': 50, 'int_luminosa': 211}",0.0
ILS,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}",0.0
ILS,"{'temperatura': 32, 'humedad': 42, 'ruido': 123, 'int_luminosa': 992}",0.0010499999999999954
ILS,"{'temperatura': 32, 'humedad': 67, 'ruido': 72, 'int_luminosa': 896}",0.0006500000000000394
ILS,"{'temperatura': 32, 'humedad': 80, 'ruido': 54, 'int_luminosa': 795}",0.0007000000000000339
ILS,"{'temperatura': 32, 'humedad': 86, 'ruido': 37, 'int_luminosa': 559}",0.0005875000000000741
ILS,"{'temperatura': 32, 'humedad': 86, 'ruido': 72, 'int_luminosa': 428}",4.999999999999449e-05
ILS,"{'temperatura': 32, 'humedad': 89, 'ruido': 43, 'int_luminosa': 203}",0.0
ILS,"{'temperatura': 33, 'humedad': 48, 'ruido': 81, 'int_luminosa': 862}",0.0006499999999999284
ILS,"{'temperatura': 33, 'humedad': 66, 'ruido': 81, 'int_luminosa': 677}",0.00040000000000006697
ILS,"{'temperatura': 33, 'humedad': 67, 'ruido': 54, 'int_luminosa': 84}",0.0
ILS,"{'temperatura': 33, 'humedad': 69, 'ruido': 67, 'int_luminosa': 112}",0.0
ILS,"{'temperatura': 34, 'humedad': 43, 'ruido': 45, 'int_luminosa': 707}",0.0024374999999999813
ILS,"{'temperatura': 34, 'humedad': 55, 'ruido': 48, 'int_luminosa': 683}",0.002362499999999934
ILS,"{'temperatura': 34, 'humedad': 59, 'ruido': 41, 'int_luminosa': 260}",0.0
ILS,"{'temperatura': 34, 'humedad': 65, 'ruido': 87, 'int_luminosa': 991}",0.0006500000000000394
ILS,"{'temperatura': 34, 'humedad': 67, 'ruido': 125, 'int_luminosa': 488}",0.0002375000000000016
ILS,"{'temperatura': 34, 'humedad': 82, 'ruido': 91, 'int_luminosa': 582}",0.0
ILS,"{'temperatura': 35, 'humedad': 41, 'ruido': 122, 'int_luminosa': 913}",0.0006000000000000449
ILS,"{'temperatura': 35, 'humedad': 51, 'ruido': 117, 'int_luminosa': 208}",0.0
