h,va,iqr
TS,"{'temperatura': 20, 'humedad': 48, 'ruido': 89, 'int_luminosa': 916}",0.026999999999999913
TS,"{'temperatura': 20, 'humedad': 50, 'ruido': 92, 'int_luminosa': 688}",0.018412500000000054
TS,"{'temperatura': 20, 'humedad': 55, 'ruido': 128, 'int_luminosa': 809}",0.011737499999999956
TS,"{'temperatura': 20, 'humedad': 57, 'ruido': 79, 'int_luminosa': 203}",0.005549999999999944
TS,"{'temperatura': 20, 'humedad': 78, 'ruido': 102, 'int_luminosa': 243}",0.0
TS,"{'temperatura': 20, 'humedad': 82, 'ruido': 41, 'int_luminosa': 994}",0.01597499999999996
TS,"{'temperatura': 20, 'humedad': 91, 'ruido': 30, 'int_luminosa': 126}",0.005699999999999927
TS,"{'temperatura': 21, 'humedad': 49, 'ruido': 85, 'int_luminosa': 183}",0.006650000000000045
TS,"{'temperatura': 21, 'humedad': 50, 'ruido': 113, 'int_luminosa': 349}",0.006124999999999936
TS,"{'temperatura': 21, 'humedad': 61, 'ruido': 59, 'int_luminosa': 597}",0.010212500000000069
TS,"{'temperatura': 22, 'humedad': 47, 'ruido': 52, 'int_luminosa': 833}",0.020287500000000014
TS,"{'temperatura': 22, 'humedad': 49, 'ruido': 48, 'int_luminosa': 987}",0.028975000000000084
TS,"{'temperatura': 22, 'humedad': 61, 'ruido': 101, 'int_luminosa': 950}",0.018425000000000025
TS,"{'temperatura': 22, 'humedad': 96, 'ruido': 47, 'int_luminosa': 528}",0.008412499999999934
TS,"{'temperatura': 22, 'humedad': 96, 'ruido': 91, 'int_luminosa': 645}",0.006299999999999972
TS,"{'temperatura': 23, 'humedad': 53, 'ruido': 45, 'int_luminosa': 78}",0.006637500000000074
TS,"{'temperatura': 23, 'humedad': 58, 'ruido': 82, 'int_luminosa': 475}",0.010425000000000018
TS,"{'temperatura': 23, 'humedad': 66, 'ruido': 97, 'int_luminosa': 628}",0.005850000000000022
TS,"{'temperatura': 23, 'humedad': 70, 'ruido': 36, 'int_luminosa': 809}",0.010649999999999937
TS,"{'temperatura': 23, 'humedad': 89, 'ruido': 56, 'int_luminosa': 812}",0.00793749999999993
TS,"{'temperatura': 24, 'humedad': 62, 'ruido': 88, 'int_luminosa': 56}",0.003049999999999997
TS,"{'temperatura': 24, 'humedad': 69, 'ruido': 66, 'int_luminosa': 991}",0.01715
TS,"{'temperatura': 24, 'humedad': 74, 'ruido': 64, 'int_luminosa': 852}",0.008575
TS,"{'temperatura': 25, 'humedad': 78, 'ruido': 114, 'int_luminosa': 866}",0.007549999999999946
TS,"{'temperatura': 25, 'humedad': 79, 'ruido': 33, 'int_luminosa': 304}",0.002687500000000065
TS,"{'temperatura': 26, 'humedad': 44, 'ruido': 108, 'int_luminosa': 331}",0.0049000000000000155
TS,"{'temperatura': 26, 'humedad': 44, 'ruido': 81, 'int_luminosa': 810}",0.0074624999999999275
TS,"{'temperatura': 26, 'humedad': 48, 'ruido': 116, 'int_luminosa': 298}",0.00024999999999997247
TS,"{'temperatura': 26, 'humedad': 51, 'ruido': 56, 'int_luminosa': 166}",0.004787499999999945
TS,"{'temperatura': 26, 'humedad': 54, 'ruido': 54, 'int_luminosa': 232}",0.006437499999999985
TS,"{'temperatura': 26, 'humedad': 62, 'ruido': 125, 'int_luminosa': 186}",0.003349999999999964
TS,"{'temperatura': 26, 'humedad': 77, 'ruido': 114, 'int_luminosa': 651}",0.0038875000000000437
TS,"{'temperatura': 27, 'humedad': 43, 'ruido': 40, 'int_luminosa': 797}",0.010724999999999985
TS,"{'temperatura': 27, 'humedad': 49, 'ruido': 119, 'int_luminosa': 167}",0.0
TS,"{'temperatura': 27, 'humedad': 49, 'ruido': 128, 'int_luminosa': 958}",0.0103375
TS,"{'temperatura': 27, 'humedad': 57, 'ruido': 43, 'int_luminosa': 44}",0.0025999999999999357
TS,"{'temperatura': 27, 'humedad': 80, 'ruido': 104, 'int_luminosa': 98}",0.0
TS,"{'temperatura': 27, 'humedad': 86, 'ruido': 126, 'int_luminosa': 94}",0.0
TS,"{'temperatura': 28, 'humedad': 43, 'ruido': 48, 'int_luminosa': 684}",0.012362500000000054
TS,"{'temperatura': 28, 'humedad': 43, 'ruido': 96, 'int_luminosa': 173}",4.999999999999449e-05
TS,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}",0.0
TS,"{'temperatura': 28, 'humedad': 89, 'ruido': 91, 'int_luminosa': 537}",0.0010249999999999426
TS,"{'temperatura': 29, 'humedad': 44, 'ruido': 53, 'int_luminosa': 226}",0.002950000000000008
TS,"{'temperatura': 29, 'humedad': 59, 'ruido': 82, 'int_luminosa': 898}",0.004775000000000085
TS,"{'temperatura': 29, 'humedad': 79, 'ruido': 89, 'int_luminosa': 667}",0.0022499999999999742
TS,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}",0.0012250000000000316
TS,"{'temperatura': 30, 'humedad': 44, 'ruido': 125, 'int_luminosa': 855}",0.009050000000000002
TS,"{'temperatura': 30, 'humedad': 87, 'ruido': 105, 'int_luminosa': 500}",0.000887500000000041
TS,"{'temperatura': 30, 'humedad': 93, 'ruido': 91, 'int_luminosa': 119}",0.0
TS,"{'temperatura': 31, 'humedad': 54, 'ruido': 120, 'int_luminosa': 120}",0.0
TS,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}",0.008412500000000045
TS,"{'temperatura': 31, 'humedad': 70, 'ruido': 66, 'int_luminosa': 117}",0.0
TS,"{'temperatura': 31, 'humedad': 73, 'ruido': 84, 'int_luminosa': 514}",0.0005374999999999686
TS,"{'temperatura': 31, 'humedad': 88, 'ruido': 50, 'int_luminosa': 211}",0.0
TS,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}",3.7500000000023626e-05
TS,"{'temperatura': 32, 'humedad': 42, 'ruido': 123, 'int_luminosa': 992}",0.010350000000000081
TS,"{'temperatura': 32, 'humedad': 67, 'ruido': 72, 'int_luminosa': 896}",0.004362500000000047
TS,"{'temperatura': 32, 'humedad': 80, 'ruido': 54, 'int_luminosa': 795}",0.004762500000000003
TS,"{'temperatura': 32, 'humedad': 86, 'ruido': 37, 'int_luminosa': 559}",0.005537499999999973
TS,"{'temperatura': 32, 'humedad': 86, 'ruido': 72, 'int_luminosa': 428}",0.0007250000000000867
TS,"{'temperatura': 32, 'humedad': 89, 'ruido': 43, 'int_luminosa': 203}",0.0010499999999999954
TS,"{'temperatura': 33, 'humedad': 48, 'ruido': 81, 'int_luminosa': 862}",0.005575000000000108
TS,"{'temperatura': 33, 'humedad': 66, 'ruido': 81, 'int_luminosa': 677}",0.0022499999999999742
TS,"{'temperatura': 33, 'humedad': 67, 'ruido': 54, 'int_luminosa': 84}",0.0010000000000000009
TS,"{'temperatura': 33, 'humedad': 69, 'ruido': 67, 'int_luminosa': 112}",0.0
TS,"{'temperatura': 34, 'humedad': 43, 'ruido': 45, 'int_luminosa': 707}",0.010287500000000116
TS,"{'temperatura': 34, 'humedad': 55, 'ruido': 48, 'int_luminosa': 683}",0.006325000000000025
TS,"{'temperatura': 34, 'humedad': 59, 'ruido': 41, 'int_luminosa': 260}",0.0029249999999999554
TS,"{'temperatura': 34, 'humedad': 65, 'ruido': 87, 'int_luminosa': 991}",0.005474999999999897
TS,"{'temperatura': 34, 'humedad': 67, 'ruido': 125, 'int_luminosa': 488}",0.001487499999999975
TS,"{'temperatura': 34, 'humedad': 82, 'ruido': 91, 'int_luminosa': 582}",0.0007250000000000867
TS,"{'temperatura': 35, 'humedad': 41, 'ruido': 122, 'int_luminosa': 913}",0.010249999999999981
TS,"{'temperatura': 35, 'humedad': 51, 'ruido': 117, 'int_luminosa': 208}",0.0
TS,"{'temperatura': 35, 'humedad': 53, 'ruido': 76, 'int_luminosa': 993}",0.009362500000000051
TS,"{'temperatura': 35, 'humedad': 69, 'ruido': 67, 'int_luminosa': 738}",0.0014375000000000915
TS,"{'temperatura': 35, 'humedad': 75, 'ruido': 117, 'int_luminosa': 727}",0.0021249999999999325
